Order,Component,Type
1,叉,kanji
2,左手,word
3,交通事故で彼は左手が使えなくなった。,sentence
4,黄,word
5,已,kanji
6,市役所,word
7,あなたの捜している住所は、市役所からすぐ近くの場所です。,sentence
8,サラダ,word
9,もう少しサラダはいかがですか。,sentence
10,匁,kanji
11,市街,word
12,その市街地図をもう一度よく見て下さい。,sentence
13,スキャンダル,word
14,そのスキャンダルが彼の評判を落とした。,sentence
15,仔,kanji
16,布団,word
17,ベッドの上には、布団が置いてありました。,sentence
18,我が社,word
19,あの人がいないと我が社は回っていかない。,sentence
20,凧,kanji
21,幻,word
22,どちらにしてもあれは幻だ。,sentence
23,専念,word
24,あなたには研究に専念していただきたいのです。,sentence
25,叶,kanji
26,廊下,word
27,この廊下を歩くとどんどん狭くなってしまう。,sentence
28,候補者,word
29,その候補者は私達が尊敬できるような人です。,sentence
30,弘,kanji
31,建て前,word
32,建前,word
33,物音,word
34,あの物音は何？,sentence
35,汀,kanji
36,引き締める,word
37,金融引き締め政策が実施されている。,sentence
38,引き締め,word
39,金融引き締めで金利が上昇するだろう。,sentence
40,生まれ付く,word
41,じつは彼は生まれつきよい人間なのです。,sentence
42,辻,kanji
43,弟子,word
44,二人の弟子は、彼がそう言うのを聞いて、イエスについていった。,sentence
45,インフルエンザ,word
46,あなたはインフルエンザで２週間も寝てたんですもの。,sentence
47,亙,kanji
48,強風,word
49,屋根は強風に飛ばされた。,sentence
50,梯,kanji
51,梯子,word
52,あのはしごには登るな。安全ではない。,sentence
53,伊,kanji
54,役目,word
55,そのことを決めるのは君の役目だ。,sentence
56,怠ける,word
57,でも、僕は怠けてばかりいたからね。,sentence
58,伍,kanji
59,後者,word
60,このうち大事なのは後者の方です。,sentence
61,学生時代,word
62,この写真は私に学生時代を思い出させてくれる。,sentence
63,凪,kanji
64,心身,word
65,彼はまだ心身ともに健全だ。,sentence
66,羨ましい,word
67,あなたがとても羨ましい。,sentence
68,匡,kanji
69,念願,word
